148.62.14.107 - - [03/Nov/2016:19:18:23 -0700] "GET / HTTP/1.1" 200 166917 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.71 Safari/534.24" "universal-smart-technology.org"
66.249.73.135 - - [03/Nov/2016:19:33:27 -0700] "GET /xwzx/xstz/xsbg/201610/t20161025_4686207.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.universal-smart-technology.org"
66.249.65.7 - - [04/Nov/2016:03:08:55 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.3 - - [04/Nov/2016:03:10:22 -0700] "GET /xwzx/xstz/xsbg/201610/t20161028_4687316.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.3 - - [04/Nov/2016:03:27:51 -0700] "GET /xwzx/xstz/xsbg/201610/t20161025_4686207.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.7 - - [04/Nov/2016:03:29:44 -0700] "GET /xwzx/xstz/lwdb/201610/t20161027_4687198.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.5 - - [04/Nov/2016:03:34:20 -0700] "GET /xwzx/xstz/xsbg/201610/t20161027_4687061.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.3 - - [04/Nov/2016:03:43:21 -0700] "GET /xwzx/xstz/xsbg/201610/t20161018_4681466.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.3 - - [04/Nov/2016:04:09:53 -0700] "GET /xwzx/xstz/lwdb/201610/t20161020_4682510.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.5 - - [04/Nov/2016:04:10:23 -0700] "GET /xwzx/xstz/xshy/201608/t20160820_4653551.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.5 - - [04/Nov/2016:04:10:29 -0700] "GET /xwzx/xstz/lwdb/201610/t20161019_4681827.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.3 - - [04/Nov/2016:05:06:16 -0700] "GET /xwzx/xstz/xsbg/201610/t20161010_4673951.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.5 - - [04/Nov/2016:05:06:29 -0700] "GET /xwzx/xstz/lwdb/201610/t20161008_4672934.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.3 - - [04/Nov/2016:05:07:13 -0700] "GET /xwzx/xstz/xsbg/201610/t20161025_4686219.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.5 - - [04/Nov/2016:05:07:29 -0700] "GET /xwzx/xstz/xsbg/201610/t20161008_4673161.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.7 - - [04/Nov/2016:05:17:36 -0700] "GET /xwzx/xstz/xshy/201608/t20160819_4653086.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.7 - - [04/Nov/2016:06:07:38 -0700] "GET /xwzx/xstz/lwdb/201610/t20161020_4682513.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
66.249.65.7 - - [04/Nov/2016:06:51:51 -0700] "GET /xwzx/xstz/xsbg/201610/t20161008_4673146.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
158.69.25.178 - - [04/Nov/2016:07:02:48 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:28.0) Gecko/20100101  Firefox/28.0" "universal-smart-technology.org"
158.69.25.178 - - [04/Nov/2016:07:02:48 -0700] "GET / HTTP/1.1" 200 166917 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:28.0) Gecko/20100101  Firefox/28.0" "universal-smart-technology.org"
158.69.25.178 - - [04/Nov/2016:07:09:13 -0700] "GET / HTTP/1.1" 200 166917 "http://domainsigma.com/whois/universal-smart-technology.org" "Mozilla/5.0 (compatible; DomainSigmaCrawler/0.1; +http://domainsigma.com/robot)" "universal-smart-technology.org"
158.69.25.178 - - [04/Nov/2016:07:09:14 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; OptimizationCrawler/0.2; +http://www.domainoptima.com/robot)" "universal-smart-technology.org"
158.69.25.178 - - [04/Nov/2016:07:09:14 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; OptimizationCrawler/0.2; +http://www.domainoptima.com/robot)" "universal-smart-technology.org"
62.210.129.246 - - [04/Nov/2016:07:55:06 -0700] "GET / HTTP/1.1" 200 166917 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36" "universal-smart-technology.org"
66.249.65.3 - - [04/Nov/2016:10:39:27 -0700] "GET /xwzx/xstz/xsbg/201609/t20160929_4671043.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "universal-smart-technology.org"
